Parameters:
num_ants = 30
num_iterations = 100
alpha = 0.9
beta = 0.7
rho = 0.15
Q = 125

Execution 1:
Best Solution: [0, 7, 1, 13, 2, 12, 3, 5, 4, 9, 14, 6, 11, 8, 10]
Cost: 2238
Execution Time: 1.1242663860321045 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
100, 2238, 674, 0.0, 3571.8, 5370

Execution 2:
Best Solution: [0, 7, 1, 13, 2, 12, 3, 5, 4, 9, 14, 6, 11, 8, 10]
Cost: 2238
Execution Time: 1.125807762145996 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
1, 2880, 674, 0.0, 6009.2, 8427
2, 2880, 674, 0.0, 6321.3, 8706
3, 2880, 674, 0.0, 6506.1, 8976
4, 2880, 674, 0.0, 6401.566666666667, 8178
5, 2880, 674, 0.0, 6479.466666666666, 8132
6, 2880, 674, 0.0, 6194.233333333334, 7750
7, 2880, 674, 0.0, 5981.733333333334, 8327
8, 2880, 674, 0.0, 5748.6, 7749
9, 2880, 674, 0.0, 5661.666666666667, 7596
10, 2880, 674, 0.0, 5540.3, 7419
11, 2880, 674, 0.0, 5405.266666666666, 6676
12, 2812, 674, 0.0, 5594.133333333333, 8076
13, 2812, 674, 0.0, 5408.033333333334, 7123
14, 2812, 674, 0.0, 5178.466666666666, 6994
15, 2812, 674, 0.0, 5238.7, 6695
16, 2812, 674, 0.0, 5186.566666666667, 6578
17, 2812, 674, 0.0, 5125.8, 6932
18, 2812, 674, 0.0, 5248.833333333333, 7267
19, 2812, 674, 0.0, 4963.633333333333, 6184
20, 2812, 674, 0.0, 4834.4, 7292
21, 2812, 674, 0.0, 4654.1, 5751
22, 2812, 674, 0.0, 4655.266666666666, 6136
23, 2812, 674, 0.0, 4508.8, 6353
24, 2669, 674, 0.0, 4662.1, 6399
25, 2669, 674, 0.0, 4482.366666666667, 6269
26, 2669, 674, 0.0, 4522.5, 5596
27, 2669, 674, 0.0, 4668.533333333334, 6053
28, 2669, 674, 0.0, 4427.333333333333, 5623
29, 2669, 674, 0.0, 4168.6, 6657
30, 2388, 674, 0.0, 4276.5, 6475
31, 2360, 674, 0.0, 4483.366666666667, 6121
32, 2360, 674, 0.0, 4360.466666666666, 5347
33, 2360, 674, 0.0, 4319.233333333334, 5784
34, 2360, 674, 0.0, 4261.6, 6217
35, 2360, 674, 0.0, 4288.366666666667, 6052
36, 2360, 674, 0.0, 4138.433333333333, 5426
37, 2360, 674, 0.0, 4317.066666666667, 5429
38, 2360, 674, 0.0, 3930.266666666667, 6339
39, 2360, 674, 0.0, 4098.7, 5252
40, 2360, 674, 0.0, 4180.633333333333, 4914
41, 2360, 674, 0.0, 3928.266666666667, 5157
42, 2360, 674, 0.0, 4207.166666666667, 5461
43, 2360, 674, 0.0, 4170.533333333334, 5702
44, 2360, 674, 0.0, 4168.3, 5949
45, 2360, 674, 0.0, 3855.9666666666667, 5363
46, 2360, 674, 0.0, 3726.9, 4497
47, 2360, 674, 0.0, 3909.4666666666667, 5108
48, 2360, 674, 0.0, 3912.0333333333333, 5075
49, 2360, 674, 0.0, 3833.633333333333, 5324
50, 2360, 674, 0.0, 4023.9666666666667, 5638
51, 2360, 674, 0.0, 3882.8333333333335, 5247
52, 2360, 674, 0.0, 3934.233333333333, 5543
53, 2360, 674, 0.0, 3846.133333333333, 4691
54, 2360, 674, 0.0, 4100.466666666666, 5728
55, 2360, 674, 0.0, 3768.266666666667, 5855
56, 2360, 674, 0.0, 3817.1, 5571
57, 2360, 674, 0.0, 3802.4333333333334, 5102
58, 2360, 674, 0.0, 3939.5666666666666, 5547
59, 2360, 674, 0.0, 3950.1666666666665, 6268
60, 2360, 674, 0.0, 3907.2, 5027
61, 2360, 674, 0.0, 3926.8, 5483
62, 2360, 674, 0.0, 3760.866666666667, 5762
63, 2360, 674, 0.0, 3926.6666666666665, 6087
