Parameters:
num_ants = 20
num_iterations = 125
alpha = 0.9
beta = 1.3
rho = 0.15
Q = 25

Execution 1:
Best Solution: [0, 6, 4, 12, 3, 17, 15, 10, 8, 13, 19, 1, 2, 7, 11, 5, 16, 18, 14, 9]
Cost: 2922
Execution Time: 1.4223902225494385 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
120, 2922, 1157, 0.0, 4118.55, 5234
121, 2922, 1157, 0.0, 4259.35, 5477
122, 2922, 1157, 0.0, 4173.1, 5419
123, 2922, 1157, 0.0, 4136.2, 5092
124, 2922, 1157, 0.0, 3977.75, 5690
125, 2922, 1157, 0.0, 4287.85, 5877

Execution 2:
Best Solution: [0, 6, 4, 12, 3, 16, 18, 14, 15, 10, 7, 8, 13, 19, 1, 2, 17, 11, 5, 9]
Cost: 2860
Execution Time: 1.420990228652954 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
1, 5283, 1157, 0.0, 6924.1, 8233
2, 5263, 1157, 0.0, 6950.95, 9779
3, 5263, 1157, 0.0, 6870.75, 7909
4, 5067, 1157, 0.0, 6886.9, 9011
5, 4775, 1157, 0.0, 6364.55, 7520
6, 4775, 1157, 0.0, 6648.85, 8626
7, 4775, 1157, 0.0, 6751.05, 8788
8, 4771, 1157, 0.0, 6696.4, 9227
9, 4771, 1157, 0.0, 6766.9, 8138
10, 4771, 1157, 0.0, 6804.15, 8392
11, 4771, 1157, 0.0, 6443.55, 8254
12, 4771, 1157, 0.0, 6839.6, 9350
13, 4771, 1157, 0.0, 6947.75, 9018
14, 4160, 1157, 0.0, 6269.75, 9432
15, 4160, 1157, 0.0, 6346.9, 8416
16, 4160, 1157, 0.0, 6030.55, 7924
17, 4160, 1157, 0.0, 6148.65, 7626
18, 4076, 1157, 0.0, 5717.65, 7903
19, 4076, 1157, 0.0, 5591.9, 6929
20, 4076, 1157, 0.0, 5982.25, 7140
21, 4076, 1157, 0.0, 5880.85, 8975
22, 3869, 1157, 0.0, 5413.4, 6643
